host	config	arm	seed	command
strong	c1	armA	0	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 0 --output results/tier1b/sweep
strong	c1	armA	5	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 5 --output results/tier1b/sweep
strong	c1	armA	6	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 6 --output results/tier1b/sweep
strong	c1	armA	11	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 11 --output results/tier1b/sweep
strong	c1	armA	12	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 12 --output results/tier1b/sweep
strong	c1	armA	13	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 13 --output results/tier1b/sweep
strong	c1	armA	18	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 18 --output results/tier1b/sweep
strong	c1	armA	19	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 19 --output results/tier1b/sweep
strong	c1	armA	20	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 20 --output results/tier1b/sweep
strong	c1	armA	25	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 25 --output results/tier1b/sweep
strong	c1	armA	26	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armA.yaml --seed 26 --output results/tier1b/sweep
strong	c1	armB	1	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 1 --output results/tier1b/sweep
strong	c1	armB	2	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 2 --output results/tier1b/sweep
strong	c1	armB	3	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 3 --output results/tier1b/sweep
strong	c1	armB	8	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 8 --output results/tier1b/sweep
strong	c1	armB	9	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 9 --output results/tier1b/sweep
strong	c1	armB	10	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 10 --output results/tier1b/sweep
strong	c1	armB	15	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 15 --output results/tier1b/sweep
strong	c1	armB	16	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 16 --output results/tier1b/sweep
strong	c1	armB	21	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 21 --output results/tier1b/sweep
strong	c1	armB	22	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 22 --output results/tier1b/sweep
strong	c1	armB	23	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 23 --output results/tier1b/sweep
strong	c1	armB	28	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 28 --output results/tier1b/sweep
strong	c1	armB	29	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c1_armB.yaml --seed 29 --output results/tier1b/sweep
strong	c2	armA	0	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 0 --output results/tier1b/sweep
strong	c2	armA	5	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 5 --output results/tier1b/sweep
strong	c2	armA	6	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 6 --output results/tier1b/sweep
strong	c2	armA	11	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 11 --output results/tier1b/sweep
strong	c2	armA	12	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 12 --output results/tier1b/sweep
strong	c2	armA	13	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 13 --output results/tier1b/sweep
strong	c2	armA	18	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 18 --output results/tier1b/sweep
strong	c2	armA	19	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 19 --output results/tier1b/sweep
strong	c2	armA	20	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 20 --output results/tier1b/sweep
strong	c2	armA	25	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 25 --output results/tier1b/sweep
strong	c2	armA	26	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armA.yaml --seed 26 --output results/tier1b/sweep
strong	c2	armB	1	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 1 --output results/tier1b/sweep
strong	c2	armB	2	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 2 --output results/tier1b/sweep
strong	c2	armB	3	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 3 --output results/tier1b/sweep
strong	c2	armB	8	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 8 --output results/tier1b/sweep
strong	c2	armB	9	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 9 --output results/tier1b/sweep
strong	c2	armB	10	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 10 --output results/tier1b/sweep
strong	c2	armB	15	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 15 --output results/tier1b/sweep
strong	c2	armB	16	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 16 --output results/tier1b/sweep
strong	c2	armB	21	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 21 --output results/tier1b/sweep
strong	c2	armB	22	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 22 --output results/tier1b/sweep
strong	c2	armB	23	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 23 --output results/tier1b/sweep
strong	c2	armB	28	OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 python3 evaluation/run_shard.py --config configs/tier1b/sweep_c2_armB.yaml --seed 28 --output results/tier1b/sweep
